# R(kOhm) 	I_16(mA)	I_32(mA)
.050		5.68		5.38
.10			5.67		5.38
.2			5.67		5.39
.3			5.67		5.40
.4			5.67		5.40
.5			5.68		5.40
.6			5.68		5.41
.7			5.68		5.42
.8			5.68		5.43
.9			5.68		5.43
1.0			5.68		5.46
1.1			5.68		5.46
1.2			5.68		5.46
1.3			5.68		5.46
1.4			5.69		5.47
1.5			5.69		5.48
1.6			5.68		5.49
1.7			5.67		5.50
1.8			5.65		5.51
1.9			5.64		5.51
2.0			5.64		5.54
2.1			5.62		5.56
2.2			5.57		5.56
2.3			5.51		5.56
2.4			5.43		5.56
2.5			5.33		5.56
2.6			5.22		5.57
2.7			5.10		5.58
2.8			4.98		5.59
2.9			4.85		5.60
3.0			4.73		5.61
3.1			4.61		5.62
3.2			4.49		5.63
3.3			4.38		5.64
3.4			4.28		5.64
3.5			4.17		5.65
3.6			4.07		5.65
3.7			3.98		5.65
3.8			3.88		5.66
3.9			3.79		5.67
4.0			3.71		5.67
4.1			3.63		5.67
4.2			3.55		5.67
4.3			3.47		5.66
4.4			3.40		5.65
4.5			3.33		5.64
4.6			3.27		5.64
4.7			3.20		5.62
4.8			3.14		5.60
4.9			3.08		5.58
5.0			3.02		5.56
