                 V_V1	      (-V(Vin)/I(V1))
                    6	     701746.803097482
                    7	     694418.455341692
                    8	     688225.707963476
                    9	     682614.424571128
                   10	     677303.469818241
                   11	     672133.552879782
                   12	     667012.362868683
                   13	     661885.230777238
                   14	     656719.409962387
                   15	     651495.475571854
                   16	     646202.365005706
                   17	      640834.05195283
                   18	     635387.927338664
                   19	     629863.475026639
                   20	     624261.555374225
                   21	     618584.006763189
                   22	     612832.986069338
                   23	     607011.223866473
                   24	     601121.440614714
                   25	     595166.596695951
                   26	     589149.523363683


