                 V_V1	               V(VIN)	              V(R2:2)
                    6	                    6	     5.17634630203247
                    7	                    7	     6.14102172851563
                    8	                    8	     7.10607671737671
                    9	                    9	     8.07127094268799
                   10	                   10	     9.03644847869873
                   11	                   11	     10.0014886856079
                   12	                   12	     10.9662981033325
                   13	                   13	     11.9307994842529
                   14	                   14	     12.8949279785156
                   15	                   15	     13.8586254119873
                   16	                   16	     14.8218402862549
                   17	                   17	     15.7845268249512
                   18	                   18	      16.746639251709
                   19	                   19	      17.708137512207
                   20	                   20	     18.6689777374268
                   21	                   21	     19.6291236877441
                   22	                   22	     20.5885334014893
                   23	                   23	     21.5471706390381
                   24	                   24	     22.5049915313721
                   25	                   25	     23.4619598388672
                   26	                   26	     24.4180335998535


