                 V_V1	                W(D1)	                W(R1)
                    5	 4.7409728722414e-005	9.02499195376549e-008
                    6	5.69097246625461e-005	9.02499195376549e-008
                    7	6.64097242406569e-005	9.02499195376549e-008
                    8	7.59097165428102e-005	9.02499195376549e-008
                    9	8.54097161209211e-005	9.02499195376549e-008
                   10	  0.00134453328792006	1.85807712114183e-005
                   11	   0.0107276383787394	  0.00116848817560822
                   12	   0.0205113533884287	  0.00426008319482207
                   13	   0.0303866397589445	  0.00932494923472404
                   14	   0.0402760654687881	   0.0163721237331629
                   15	   0.0502005107700825	   0.0254057496786118
                   16	    0.060187540948391	    0.036428477615118
                   17	   0.0701227560639381	   0.0494420230388641
                   18	   0.0800714194774628	   0.0644476190209389
                   19	   0.0900348722934723	    0.081446185708046
                   20	      0.1000070348382	    0.100438438355923
                   21	    0.109985768795013	    0.121424950659275
                   22	    0.119969941675663	    0.144406199455261
                   23	    0.129958778619766	    0.169382557272911
                   24	    0.139951676130295	    0.196354359388351
                   25	    0.149948194622993	    0.225321903824806


