Frequency (Hz)	VPP1(V)	VPP2(V)	Gain V/V	Gain DB
51.000		0.481	0.475	0.987	-0.114
56.801		0.481	0.469	0.974	-0.229
63.261		0.481	0.475	0.987	-0.114
70.457		0.487	0.475	0.974	-0.226
78.471		0.481	0.469	0.974	-0.229
87.396		0.481	0.475	0.987	-0.114
97.337		0.487	0.469	0.962	-0.341
108.408		0.481	0.469	0.974	-0.229
120.738		0.475	0.462	0.974	-0.232
134.471		0.487	0.469	0.962	-0.341
149.766		0.475	0.462	0.974	-0.232
166.800		0.481	0.462	0.961	-0.345
185.773		0.475	0.462	0.974	-0.232
206.903		0.487	0.462	0.949	-0.457
230.436		0.475	0.462	0.974	-0.232
256.646		0.475	0.450	0.947	-0.470
285.837		0.469	0.444	0.947	-0.476
318.349		0.475	0.437	0.921	-0.714
354.558		0.475	0.431	0.908	-0.839
394.886		0.469	0.425	0.907	-0.851
439.801		0.462	0.412	0.892	-0.994
489.824		0.462	0.412	0.892	-0.994
545.537		0.469	0.400	0.853	-1.378
607.587		0.462	0.387	0.838	-1.537
676.695		0.456	0.375	0.822	-1.703
753.663		0.462	0.362	0.784	-2.116
839.386		0.456	0.337	0.740	-2.619
934.858		0.456	0.316	0.692	-3.201
1041.190	0.469	0.284	0.607	-4.341
1159.616	0.469	0.250	0.533	-5.460
1291.513	0.469	0.209	0.447	-7.000
1438.411	0.475	0.169	0.355	-8.989
1602.017	0.475	0.131	0.276	-11.172
1784.233	0.481	0.102	0.211	-13.513
1987.173	0.469	0.077	0.163	-15.739
2213.197	0.469	0.056	0.120	-18.416
2464.929	0.469	0.045	0.096	-20.355
2745.292	0.469	0.032	0.069	-23.181
3057.545	0.462	0.026	0.055	-25.129
3405.314	0.462	0.021	0.045	-27.014
3792.639	0.469	0.018	0.039	-28.105
4224.018	0.456	0.012	0.027	-31.246
4704.463	0.469	0.013	0.028	-31.057
5239.554	0.456	0.012	0.026	-31.691
5835.507	0.462	0.016	0.034	-29.254
6499.244	0.462	0.012	0.026	-31.584
7238.476	0.456	0.013	0.029	-30.822
8061.789	0.456	0.012	0.027	-31.246
8978.747	0.456	0.011	0.025	-32.161
10000.000	0.456	0.012	0.027	-31.246
