#f (hz)	V/V	dB
9.8696044011	1	-1.50E-12
9.8923618849	1	-1.52E-12
9.9151718432	1	-1.54E-12
9.9380343972	1	-1.57E-12
9.9609496679	1	-1.59E-12
9.983917777	1	-1.61E-12
10.0069388463	1	-1.63E-12
10.030012998	1	-1.65E-12
10.0531403543	1	-1.68E-12
10.0763210381	1	-1.70E-12
10.0995551723	1	-1.72E-12
10.1228428801	1	-1.75E-12
10.146184285	1	-1.77E-12
10.1695795109	1	-1.80E-12
10.1930286819	1	-1.82E-12
10.2165319223	1	-1.85E-12
10.2400893569	1	-1.87E-12
10.2637011105	1	-1.90E-12
10.2873673085	1	-1.93E-12
10.3110880764	1	-1.95E-12
10.3348635399	1	-1.98E-12
10.3586938253	1	-2.01E-12
10.382579059	1	-2.03E-12
10.4065193675	1	-2.06E-12
10.430514878	1	-2.09E-12
10.4545657177	1	-2.12E-12
10.4786720142	1	-2.15E-12
10.5028338954	1	-2.18E-12
10.5270514894	1	-2.21E-12
10.5513249247	1	-2.24E-12
10.57565433	1	-2.27E-12
10.6000398345	1	-2.30E-12
10.6244815674	1	-2.34E-12
10.6489796584	1	-2.37E-12
10.6735342375	1	-2.40E-12
10.698145435	1	-2.43E-12
10.7228133813	1	-2.47E-12
10.7475382073	1	-2.50E-12
10.7723200442	1	-2.54E-12
10.7971590235	1	-2.57E-12
10.8220552768	1	-2.61E-12
10.8470089363	1	-2.64E-12
10.8720201344	1	-2.68E-12
10.8970890036	1	-2.72E-12
10.922215677	1	-2.76E-12
10.9474002879	1	-2.79E-12
10.9726429698	1	-2.83E-12
10.9979438567	1	-2.87E-12
11.0233030828	1	-2.91E-12
11.0487207825	1	-2.95E-12
11.0741970908	1	-2.99E-12
11.0997321427	1	-3.03E-12
11.1253260738	1	-3.08E-12
11.1509790197	1	-3.12E-12
11.1766911166	1	-3.16E-12
11.2024625008	1	-3.21E-12
11.228293309	1	-3.25E-12
11.2541836784	1	-3.30E-12
11.2801337461	1	-3.34E-12
11.3061436499	1	-3.39E-12
11.3322135278	1	-3.44E-12
11.3583435179	1	-3.48E-12
11.384533759	1	-3.53E-12
11.4107843899	1	-3.58E-12
11.43709555	1	-3.63E-12
11.4634673787	1	-3.68E-12
11.489900016	1	-3.73E-12
11.516393602	1	-3.78E-12
11.5429482774	1	-3.84E-12
11.5695641829	1	-3.89E-12
11.5962414598	1	-3.94E-12
11.6229802496	1	-4.00E-12
11.6497806941	1	-4.06E-12
11.6766429354	1	-4.11E-12
11.7035671161	1	-4.17E-12
11.730553379	1	-4.23E-12
11.7576018673	1	-4.29E-12
11.7847127243	1	-4.34E-12
11.811886094	1	-4.41E-12
11.8391221204	1	-4.47E-12
11.8664209481	1	-4.53E-12
11.8937827219	1	-4.59E-12
11.9212075868	1	-4.65E-12
11.9486956884	1	-4.72E-12
11.9762471725	1	-4.79E-12
12.0038621852	1	-4.85E-12
12.031540873	1	-4.92E-12
12.0592833828	1	-4.99E-12
12.0870898617	1	-5.06E-12
12.1149604571	1	-5.13E-12
12.1428953171	1	-5.20E-12
12.1708945896	1	-5.27E-12
12.1989584233	1	-5.34E-12
12.227086967	1	-5.42E-12
12.2552803699	1	-5.49E-12
12.2835387816	1	-5.57E-12
12.311862352	1	-5.65E-12
12.3402512313	1	-5.73E-12
12.3687055701	1	-5.81E-12
12.3972255194	1	-5.89E-12
12.4258112303	1	-5.97E-12
12.4544628547	1	-6.05E-12
12.4831805444	1	-6.14E-12
12.5119644518	1	-6.22E-12
12.5408147296	1	-6.31E-12
12.5697315307	1	-6.39E-12
12.5987150087	1	-6.48E-12
12.6277653172	1	-6.57E-12
12.6568826104	1	-6.66E-12
12.6860670426	1	-6.76E-12
12.7153187688	1	-6.85E-12
12.744637944	1	-6.95E-12
12.7740247238	1	-7.04E-12
12.8034792642	1	-7.14E-12
12.8330017212	1	-7.24E-12
12.8625922516	1	-7.34E-12
12.8922510122	1	-7.44E-12
12.9219781605	1	-7.55E-12
12.9517738541	1	-7.65E-12
12.9816382511	1	-7.76E-12
13.0115715098	1	-7.87E-12
13.0415737891	1	-7.98E-12
13.0716452482	1	-8.09E-12
13.1017860464	1	-8.20E-12
13.1319963438	1	-8.31E-12
13.1622763005	1	-8.43E-12
13.1926260772	1	-8.54E-12
13.2230458349	1	-8.67E-12
13.2535357349	1	-8.79E-12
13.284095939	1	-8.91E-12
13.3147266093	1	-9.03E-12
13.3454279082	1	-9.16E-12
13.3761999987	1	-9.28E-12
13.4070430439	1	-9.41E-12
13.4379572075	1	-9.54E-12
13.4689426534	1	-9.68E-12
13.499999546	1	-9.81E-12
13.5311280501	1	-9.95E-12
13.5623283308	1	-1.01E-11
13.5936005535	1	-1.02E-11
13.6249448843	1	-1.04E-11
13.6563614892	1	-1.05E-11
13.687850535	1	-1.07E-11
13.7194121888	1	-1.08E-11
13.7510466179	1	-1.10E-11
13.7827539902	1	-1.11E-11
13.8145344737	1	-1.13E-11
13.8463882373	1	-1.14E-11
13.8783154497	1	-1.16E-11
13.9103162803	1	-1.17E-11
13.942390899	1	-1.19E-11
13.9745394758	1	-1.21E-11
14.0067621812	1	-1.22E-11
14.0390591863	1	-1.24E-11
14.0714306623	1	-1.26E-11
14.103876781	1	-1.28E-11
14.1363977144	1	-1.29E-11
14.168993635	1	-1.31E-11
14.2016647159	1	-1.33E-11
14.2344111302	1	-1.35E-11
14.2672330516	1	-1.37E-11
14.3001306544	1	-1.39E-11
14.333104113	1	-1.41E-11
14.3661536022	1	-1.42E-11
14.3992792975	1	-1.44E-11
14.4324813745	1	-1.46E-11
14.4657600094	1	-1.48E-11
14.4991153786	1	-1.51E-11
14.5325476592	1	-1.53E-11
14.5660570284	1	-1.55E-11
14.5996436641	1	-1.57E-11
14.6333077443	1	-1.59E-11
14.6670494476	1	-1.61E-11
14.7008689531	1	-1.64E-11
14.7347664401	1	-1.66E-11
14.7687420885	1	-1.68E-11
14.8027960784	1	-1.70E-11
14.8369285906	1	-1.73E-11
14.871139806	1	-1.75E-11
14.9054299061	1	-1.78E-11
14.9397990729	1	-1.80E-11
14.9742474886	1	-1.83E-11
15.008775336	1	-1.85E-11
15.0433827982	1	-1.88E-11
15.0780700589	1	-1.90E-11
15.112837302	1	-1.93E-11
15.1476847119	1	-1.96E-11
15.1826124734	1	-1.98E-11
15.217620772	1	-2.01E-11
15.2527097932	1	-2.04E-11
15.2878797232	1	-2.07E-11
15.3231307486	1	-2.10E-11
15.3584630563	1	-2.13E-11
15.3938768338	1	-2.16E-11
15.4293722689	1	-2.19E-11
15.46494955	1	-2.22E-11
15.5006088657	1	-2.25E-11
15.5363504051	1	-2.28E-11
15.572174358	1	-2.31E-11
15.6080809142	1	-2.34E-11
15.6440702644	1	-2.38E-11
15.6801425993	1	-2.41E-11
15.7162981104	1	-2.44E-11
15.7525369894	1	-2.48E-11
15.7888594286	1	-2.51E-11
15.8252656205	1	-2.54E-11
15.8617557585	1	-2.58E-11
15.8983300359	1	-2.62E-11
15.9349886469	1	-2.65E-11
15.9717317859	1	-2.69E-11
16.0085596477	1	-2.73E-11
16.0454724278	1	-2.76E-11
16.082470322	1	-2.80E-11
16.1195535264	1	-2.84E-11
16.1567222379	1	-2.88E-11
16.1939766535	1	-2.92E-11
16.231316971	1	-2.96E-11
16.2687433883	1	-3.00E-11
16.306256104	1	-3.05E-11
16.3438553171	1	-3.09E-11
16.3815412271	1	-3.13E-11
16.4193140338	1	-3.17E-11
16.4571739376	1	-3.22E-11
16.4951211393	1	-3.26E-11
16.5331558403	1	-3.31E-11
16.5712782423	1	-3.35E-11
16.6094885474	1	-3.40E-11
16.6477869585	1	-3.45E-11
16.6861736787	1	-3.50E-11
16.7246489115	1	-3.55E-11
16.7632128611	1	-3.59E-11
16.801865732	1	-3.64E-11
16.8406077294	1	-3.70E-11
16.8794390586	1	-3.75E-11
16.9183599256	1	-3.80E-11
16.957370537	1	-3.85E-11
16.9964710997	1	-3.91E-11
17.035661821	1	-3.96E-11
17.0749429089	1	-4.02E-11
17.1143145718	1	-4.07E-11
17.1537770184	1	-4.13E-11
17.1933304581	1	-4.18E-11
17.2329751007	1	-4.24E-11
17.2727111566	1	-4.30E-11
17.3125388364	1	-4.36E-11
17.3524583515	1	-4.42E-11
17.3924699137	1	-4.48E-11
17.4325737351	1	-4.55E-11
17.4727700285	1	-4.61E-11
17.5130590072	1	-4.67E-11
17.5534408847	1	-4.74E-11
17.5939158755	1	-4.81E-11
17.634484194	1	-4.87E-11
17.6751460557	1	-4.94E-11
17.715901676	1	-5.01E-11
17.7567512713	1	-5.08E-11
17.7976950582	1	-5.15E-11
17.8387332539	1	-5.22E-11
17.8798660761	1	-5.29E-11
17.921093743	1	-5.37E-11
17.9624164733	1	-5.44E-11
18.0038344862	1	-5.52E-11
18.0453480013	1	-5.59E-11
18.0869572389	1	-5.67E-11
18.1286624198	1	-5.75E-11
18.1704637651	1	-5.83E-11
18.2123614965	1	-5.91E-11
18.2543558364	1	-5.99E-11
18.2964470075	1	-6.08E-11
18.338635233	1	-6.16E-11
18.3809207368	1	-6.25E-11
18.4233037431	1	-6.33E-11
18.4657844769	1	-6.42E-11
18.5083631633	1	-6.51E-11
18.5510400283	1	-6.60E-11
18.5938152983	1	-6.69E-11
18.6366892002	1	-6.79E-11
18.6796619613	1	-6.88E-11
18.7227338097	1	-6.98E-11
18.7659049739	1	-7.08E-11
18.8091756827	1	-7.17E-11
18.8525461658	1	-7.27E-11
18.8960166532	1	-7.37E-11
18.9395873756	1	-7.48E-11
18.983258564	1	-7.58E-11
19.02703045	1	-7.69E-11
19.070903266	1	-7.79E-11
19.1148772445	1	-7.90E-11
19.1589526189	1	-8.01E-11
19.203129623	1	-8.12E-11
19.2474084911	1	-8.24E-11
19.2917894581	1	-8.35E-11
19.3362727593	1	-8.47E-11
19.3808586309	1	-8.58E-11
19.4255473092	1	-8.70E-11
19.4703390314	1	-8.83E-11
19.515234035	1	-8.95E-11
19.5602325582	1	-9.07E-11
19.6053348396	1	-9.20E-11
19.6505411186	1	-9.33E-11
19.6958516349	1	-9.46E-11
19.7412666289	1	-9.59E-11
19.7867863415	1	-9.72E-11
19.8324110141	1	-9.86E-11
19.8781408888	1	-9.99E-11
19.9239762081	1	-1.01E-10
19.9699172152	1	-1.03E-10
20.0159641538	1	-1.04E-10
20.0621172681	1	-1.06E-10
20.108376803	1	-1.07E-10
20.1547430037	1	-1.09E-10
20.2012161164	1	-1.10E-10
20.2477963875	1	-1.12E-10
20.2944840641	1	-1.13E-10
20.3412793939	1	-1.15E-10
20.388182625	1	-1.16E-10
20.4351940063	1	-1.18E-10
20.4823137871	1	-1.20E-10
20.5295422175	1	-1.21E-10
20.5768795479	1	-1.23E-10
20.6243260295	1	-1.25E-10
20.6718819138	1	-1.26E-10
20.7195474533	1	-1.28E-10
20.7673229006	1	-1.30E-10
20.8152085093	1	-1.32E-10
20.8632045334	1	-1.34E-10
20.9113112275	1	-1.35E-10
20.9595288467	1	-1.37E-10
21.0078576468	1	-1.39E-10
21.0562978842	1	-1.41E-10
21.1048498158	1	-1.43E-10
21.1535136992	1	-1.45E-10
21.2022897925	1	-1.47E-10
21.2511783545	1	-1.49E-10
21.3001796445	1	-1.51E-10
21.3492939224	1	-1.53E-10
21.3985214487	1	-1.56E-10
21.4478624846	1	-1.58E-10
21.4973172919	1	-1.60E-10
21.5468861327	1	-1.62E-10
