                 V_V1	              V(VOUT)	              V(V1:+)
                    5	     4.99049997329712	                    5
                    6	     5.99049997329712	                    6
                    7	     6.99049997329712	                    7
                    8	     7.99049997329712	                    8
                    9	     8.99050045013428	                    9
                   10	     9.86368846893311	                   10
                   11	     9.91903400421143	                   11
                   12	     9.93600273132324	                   12
                   13	     9.94632244110107	                   13
                   14	     9.95375156402588	                   14
                   15	     9.95958805084229	                   15
                   16	     9.96439933776855	                   16
                   17	     9.96849727630615	                   17
                   18	     9.97207260131836	                   18
                   19	     9.97524547576904	                   19
                   20	     9.97810173034668	                   20
                   21	     9.98070049285889	                   21
                   22	     9.98308753967285	                   22
                   23	     9.98529434204102	                   23
                   24	     9.98734951019287	                   24
                   25	     9.98927307128906	                   25


